id, delivery_datetime, school_id, priority, time_to_deliver
164343, 2019-01-14 12:20, 6, 26, 58
164346, 2019-01-14 12:20, 1, 0, 50
164350, 2019-01-14 12:10, 6, 55, 44
164352, 2019-01-14 12:20, 6, 59, 43
164353, 2019-01-14 12:20, 6, 15, 51
164355, 2019-01-14 12:10, 6, 18, 38
164356, 2019-01-14 12:20, 6, 34, 52
164357, 2019-01-14 12:10, 6, 55, 30
164358, 2019-01-14 12:10, 6, 44, 51
164360, 2019-01-14 12:10, 1, 7, 51
164362, 2019-01-14 12:20, 6, 21, 33
164364, 2019-01-14 12:10, 6, 17, 46
164365, 2019-01-14 12:10, 6, 11, 52
164369, 2019-01-14 12:10, 6, 19, 57
164370, 2019-01-14 11:50, 1, 9, 59
164371, 2019-01-14 11:50, 1, 47, 37
164372, 2019-01-14 12:10, 6, 21, 33
164373, 2019-01-14 12:10, 6, 28, 55
164374, 2019-01-14 12:20, 6, 24, 43
164375, 2019-01-14 12:10, 6, 14, 31
164377, 2019-01-14 12:10, 6, 11, 51
164379, 2019-01-14 12:10, 6, 24, 34
164381, 2019-01-14 12:10, 6, 28, 31
164382, 2019-01-14 12:20, 6, 32, 56
164383, 2019-01-14 12:10, 6, 19, 55
164384, 2019-01-14 12:20, 6, 42, 40
164386, 2019-01-14 12:10, 6, 6, 32
164388, 2019-01-14 12:00, 74, 50, 40
164389, 2019-01-14 12:10, 6, 43, 48
164390, 2019-01-14 12:00, 6, 52, 33
164395, 2019-01-14 12:30, 8, 49, 51
164397, 2019-01-14 12:30, 8, 12, 40
164400, 2019-01-14 12:10, 15, 9, 44
164402, 2019-01-14 12:30, 8, 16, 55
164403, 2019-01-14 12:30, 8, 11, 50
164404, 2019-01-14 12:10, 6, 6, 53
164406, 2019-01-14 12:30, 8, 25, 44
164407, 2019-01-14 12:00, 8, 38, 40
164408, 2019-01-14 11:50, 3, 45, 41
164409, 2019-01-14 12:00, 8, 32, 35
164410, 2019-01-14 12:10, 8, 20, 35
164411, 2019-01-14 12:00, 8, 3, 36
164413, 2019-01-14 12:30, 6, 10, 33
164414, 2019-01-14 12:00, 6, 41, 51
164415, 2019-01-14 12:10, 156, 37, 56
164416, 2019-01-14 12:10, 156, 32, 54
164417, 2019-01-14 12:00, 6, 56, 45
164418, 2019-01-14 12:10, 156, 26, 30
164419, 2019-01-14 12:00, 6, 8, 48
164420, 2019-01-14 12:10, 156, 26, 57
164421, 2019-01-14 12:10, 156, 44, 49
164422, 2019-01-14 12:10, 156, 16, 49
164423, 2019-01-14 12:20, 6, 48, 40
164424, 2019-01-14 12:10, 156, 11, 58
164428, 2019-01-14 12:00, 1, 46, 31
164429, 2019-01-14 12:30, 8, 56, 41
164431, 2019-01-14 12:10, 4, 24, 55
164432, 2019-01-14 12:00, 8, 31, 30
164433, 2019-01-14 12:30, 8, 41, 52
164434, 2019-01-14 12:30, 8, 10, 40
164435, 2019-01-14 12:00, 1, 34, 30
164436, 2019-01-14 12:10, 8, 15, 31
164440, 2019-01-14 12:10, 3, 19, 31
164441, 2019-01-14 12:10, 4, 1, 57
164446, 2019-01-14 12:00, 8, 56, 31
164447, 2019-01-14 12:20, 6, 42, 37
164448, 2019-01-14 11:50, 104, 15, 35
164450, 2019-01-14 12:20, 6, 26, 58
164452, 2019-01-14 12:00, 15, 57, 48
164454, 2019-01-14 12:20, 6, 9, 50
164455, 2019-01-14 12:10, 6, 30, 56
164456, 2019-01-14 11:40, 7, 45, 45
164457, 2019-01-14 11:40, 7, 31, 45
164460, 2019-01-14 12:20, 6, 41, 42
164462, 2019-01-14 11:40, 7, 23, 42
164468, 2019-01-14 11:40, 7, 0, 34
164475, 2019-01-14 12:00, 8, 51, 47
164479, 2019-01-14 12:20, 15, 6, 42
164483, 2019-01-14 12:20, 15, 38, 41
164485, 2019-01-14 12:30, 15, 10, 38
164489, 2019-01-14 11:40, 74, 28, 34
164491, 2019-01-14 12:40, 1, 10, 41
164492, 2019-01-14 12:40, 1, 49, 38
164493, 2019-01-14 12:20, 156, 56, 52
164495, 2019-01-14 12:30, 6, 13, 58
164496, 2019-01-14 12:40, 8, 24, 41
164498, 2019-01-14 12:10, 1, 1, 43
164499, 2019-01-14 12:40, 8, 27, 36
164506, 2019-01-14 12:40, 8, 2, 45
164509, 2019-01-14 12:10, 6, 58, 31
164510, 2019-01-14 12:00, 3, 5, 31
164511, 2019-01-14 12:00, 3, 10, 45
164518, 2019-01-14 12:20, 1, 19, 47
164521, 2019-01-14 12:10, 6, 46, 38
164526, 2019-01-14 12:00, 1, 18, 45
164527, 2019-01-14 12:40, 8, 11, 47
164539, 2019-01-14 12:00, 4, 20, 41
164543, 2019-01-14 13:30, 1, 1, 45
164548, 2019-01-14 12:20, 1, 9, 59
164560, 2019-01-14 12:30, 6, 29, 33
164563, 2019-01-14 12:30, 6, 12, 48
164576, 2019-01-14 12:40, 8, 10, 39
164593, 2019-01-14 12:20, 15, 11, 57
164597, 2019-01-14 12:40, 4, 51, 49
164612, 2019-01-14 13:10, 1, 53, 54
164617, 2019-01-14 12:40, 4, 58, 39
164646, 2019-01-14 13:00, 153, 52, 45
164651, 2019-01-14 13:10, 152, 53, 34
164676, 2019-01-14 13:00, 1, 33, 37
