school_1_id, school_2_id, time_in_seconds
3, 104, 406
58, 153, 248
156, 208, 110
9, 59, 0
3, 8, 227
15, 156, 219
74, 152, 122
4, 156, 289
3, 158, 292
4, 208, 152
7, 59, 86
3, 77, 149
58, 208, 332
16, 74, 0
104, 153, 312
8, 16, 0
8, 153, 283
9, 208, 0
15, 158, 245
77, 153, 180
1, 152, 110
75, 208, 245
9, 77, 0
8, 208, 246
6, 7, 328
9, 15, 0
9, 69, 0
8, 158, 309
6, 8, 280
77, 208, 185
15, 208, 96
16, 158, 0
7, 208, 251
3, 58, 382
15, 104, 373
77, 158, 290
152, 154, 64
8, 58, 405
16, 152, 0
74, 104, 201
1, 6, 99
3, 7, 294
152, 208, 205
152, 158, 157
8, 15, 236
1, 59, 218
9, 152, 0
6, 154, 157
74, 208, 276
9, 16, 0
58, 75, 368
4, 7, 210
9, 153, 0
69, 153, 408
1, 74, 136
69, 152, 322
3, 153, 88
7, 74, 332
58, 104, 230
59, 158, 108
75, 77, 155
7, 69, 274
75, 156, 226
16, 153, 0
77, 104, 249
77, 152, 170
153, 156, 195
16, 156, 0
4, 59, 240
104, 208, 405
6, 156, 4
58, 74, 374
3, 156, 105
74, 77, 186
3, 15, 89
9, 74, 0
74, 158, 237
6, 77, 114
59, 69, 347
7, 104, 204
16, 154, 0
59, 153, 177
77, 156, 166
153, 154, 73
4, 74, 322
15, 153, 55
59, 77, 255
15, 16, 0
9, 58, 0
1, 154, 91
9, 154, 0
1, 208, 179
74, 153, 238
16, 59, 0
75, 152, 128
4, 16, 0
4, 75, 316
7, 15, 170
3, 75, 191
69, 74, 288
4, 8, 124
8, 154, 298
59, 74, 303
6, 74, 162
16, 69, 0
4, 153, 153
4, 158, 208
154, 208, 141
69, 77, 327
15, 152, 189
4, 77, 274
3, 152, 222
7, 58, 172
6, 69, 418
153, 208, 124
8, 9, 0
7, 8, 182
6, 208, 104
8, 152, 361
152, 153, 112
69, 75, 282
58, 154, 200
158, 208, 277
75, 158, 243
8, 59, 416
1, 158, 267
6, 16, 0
74, 156, 257
3, 208, 0
6, 15, 140
6, 153, 139
74, 75, 31
7, 153, 166
15, 75, 246
69, 158, 321
8, 74, 455
58, 158, 113
3, 6, 101
58, 69, 317
3, 9, 0
1, 4, 194
16, 58, 0
75, 104, 207
4, 104, 358
1, 77, 88
1, 3, 179
75, 154, 196
59, 208, 270
1, 69, 480
6, 152, 201
59, 75, 297
156, 158, 301
3, 69, 505
104, 158, 243
6, 104, 427
1, 16, 0
7, 16, 0
1, 153, 86
7, 156, 299
4, 154, 141
154, 156, 147
1, 75, 130
59, 154, 129
58, 77, 326
59, 152, 161
8, 156, 335
58, 152, 240
1, 15, 112
9, 158, 0
7, 75, 326
9, 104, 0
104, 154, 264
4, 15, 106
6, 9, 0
1, 156, 103
7, 152, 179
74, 154, 190
9, 156, 0
8, 75, 449
8, 69, 507
1, 104, 336
15, 77, 204
58, 156, 341
3, 59, 288
1, 7, 269
6, 59, 309
104, 152, 296
69, 208, 425
1, 58, 312
3, 74, 197
4, 9, 0
154, 158, 144
69, 104, 285
16, 75, 0
7, 9, 0
16, 77, 0
16, 208, 0
4, 69, 397
58, 59, 236
15, 58, 356
77, 154, 152
7, 154, 151
3, 154, 130
1, 8, 253
3, 4, 154
8, 104, 450
69, 156, 406
152, 156, 162
16, 104, 0
15, 59, 255
9, 75, 0
3, 16, 0
59, 104, 157
6, 75, 156
15, 74, 252
8, 77, 407
153, 158, 245
1, 9, 0
7, 77, 284
4, 152, 204
4, 6, 285
6, 58, 403
6, 158, 295
4, 58, 295
15, 154, 97
104, 156, 405
15, 69, 458
75, 153, 240
69, 154, 360
7, 158, 21
59, 156, 270
